,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7274,16.0,13.0,3.0,81.08667055182009,88.79311258384772,79.63230520365514,87.34111258384772
7275,16.0,13.0,4.0,81.08667055182009,88.79311258384772,79.79717157895325,87.50511258384772
7276,16.0,13.0,5.0,81.08667055182009,88.79311258384772,81.65554720728056,91.45411258384772
7277,16.0,13.0,6.0,81.08667055182009,88.79311258384772,79.95825718437133,87.66911258384772
7278,16.0,13.0,7.0,81.08667055182009,88.79311258384772,82.39488086026343,91.15611258384772
7279,16.0,13.0,8.0,81.08667055182009,88.79311258384772,82.37483343189075,91.53411258384772
7280,16.0,13.0,9.0,81.08667055182009,88.79311258384772,82.81282269623665,91.04811258384771
7281,16.0,13.0,10.0,81.08667055182009,88.79311258384772,81.24666007511604,89.5561125838477
7282,16.0,13.0,11.0,81.08667055182009,88.79311258384772,82.82015506269279,90.88011258384772
7283,16.0,13.0,12.0,81.08667055182009,88.79311258384772,82.48166685571556,91.40911258384772
7284,16.0,13.0,13.0,81.08667055182009,88.79311258384772,82.05604708619197,90.13611258384772
7285,16.0,13.0,14.0,81.08667055182009,88.79311258384772,82.10372513551035,90.12511258384771
7286,16.0,13.0,15.0,81.08667055182009,88.79311258384772,81.0848666621005,89.58611258384771
7287,16.0,13.0,16.0,81.08667055182009,88.79311258384772,81.08667055182009,88.79511258384774
7288,16.0,13.0,17.0,81.08667055182009,88.79311258384772,81.89244170960009,89.9251125838477
7289,16.0,13.0,18.0,81.08667055182009,88.79311258384772,81.22296885151775,89.2361125838477
7290,16.0,13.0,19.0,81.08667055182009,88.79311258384772,81.20582150379825,89.05411258384773
7291,16.0,13.0,20.0,81.08667055182009,88.79311258384772,84.13249140357074,86.37111258384772
7292,16.0,13.0,21.0,81.08667055182009,88.79311258384772,81.78143546228026,92.14011258384771
7293,16.0,13.0,22.0,81.08667055182009,88.79311258384772,79.70151144894761,87.8701125838477
7294,16.0,13.0,23.0,81.08667055182009,88.79311258384772,79.611857072319,87.32111258384771
7295,16.0,13.0,24.0,81.08667055182009,88.79311258384772,79.1331250700565,86.84411258384772
7296,17.0,13.0,1.0,81.8870754312428,89.9281125838477,80.48905595580364,89.45711258384772
7297,17.0,13.0,2.0,81.8870754312428,89.9281125838477,80.05546140426011,88.31511258384771
7298,17.0,13.0,3.0,81.8870754312428,89.9281125838477,79.63230520365514,87.34111258384772
7299,17.0,13.0,4.0,81.8870754312428,89.9281125838477,79.79717157895325,87.50511258384772
7300,17.0,13.0,5.0,81.8870754312428,89.9281125838477,81.65554720728056,91.45411258384772
7301,17.0,13.0,6.0,81.8870754312428,89.9281125838477,79.95825718437133,87.66911258384772
